,N,iter_lev,Voronoi,Distances,Drawing,Saving figure,dpi
42,5000,2,14.31197476387024,1.7111539840698242,58.793001890182495,12.825738668441772,300
43,5000,2,13.375312566757202,1.796863079071045,57.87997102737427,11.696830034255981,300
44,5000,2,13.863131284713745,1.8225457668304443,58.72511696815491,9.95641303062439,300
45,5000,2,15.298130512237549,1.488271951675415,58.75625729560852,10.239894151687622,300
46,5000,2,16.214109897613525,1.8142735958099365,59.270161151885986,11.00425124168396,300
47,5000,2,16.08542037010193,2.04172682762146,63.42557430267334,10.900492906570435,300
48,5000,2,16.49896550178528,1.859724760055542,64.32314467430115,4.5193352699279785,300
49,5000,2,5.830557346343994,0.9786286354064941,22.707221508026123,4.162841081619263,300
50,6000,2,7.767359733581543,0.8155770301818848,26.95742654800415,4.298307418823242,300
51,6000,2,6.865319013595581,0.870659351348877,26.85451316833496,4.381075143814087,300
52,6000,2,7.196038484573364,0.9031088352203369,27.147815704345703,4.368632793426514,300
53,6000,2,7.44085955619812,0.8995637893676758,26.820462942123413,4.445233345031738,300
54,6000,2,6.708589792251587,0.8058421611785889,27.27933979034424,4.360581874847412,300
55,6000,2,6.928228378295898,0.8926024436950684,26.914124011993408,4.431966304779053,300
56,6000,2,7.483137845993042,0.912386417388916,26.808940172195435,4.757909774780273,300
57,6000,2,7.14192008972168,0.8247215747833252,55.99490022659302,10.678974390029907,300
58,6000,2,17.96150302886963,1.7996923923492432,64.91718935966492,10.075527667999268,300
59,6000,2,17.212543964385986,1.8290777206420898,62.742605209350586,10.370871305465698,300
60,7000,2,20.457780838012695,2.694730281829834,76.1538097858429,11.314720392227173,300
61,7000,2,20.800864934921265,2.4280171394348145,73.45867371559143,13.115328073501587,300
62,7000,2,18.103877305984497,2.2410941123962402,74.64501571655273,11.829829692840576,300
63,7000,2,20.048221826553345,2.3575990200042725,76.67409253120422,11.144390344619751,300
64,7000,2,19.63251233100891,2.2735068798065186,75.64775824546814,12.785213708877563,300
65,7000,2,18.30028986930847,2.6796255111694336,76.99270701408386,11.179429054260254,300
66,7000,2,20.81667923927307,2.4441704750061035,79.22087121009827,11.197511911392212,300
67,7000,2,20.56421184539795,2.4026026725769043,76.29656267166138,12.64035677909851,300
68,7000,2,19.476760149002075,3.070326328277588,79.51972007751465,13.127597093582153,300
69,7000,2,19.754695177078247,2.5668373107910156,83.92415404319763,13.288599967956543,300
70,8000,2,21.581494092941284,3.795943021774292,65.83430528640747,5.122167110443115,300
71,8000,2,9.302339315414429,1.150613784790039,35.8396372795105,5.3037707805633545,300
72,8000,2,9.030881643295288,1.2396364212036133,35.215272188186646,4.916783332824707,300
73,8000,2,9.683507204055786,1.22605299949646,35.705710887908936,4.990832805633545,300
74,8000,2,9.531816959381104,1.1547372341156006,35.95025873184204,5.117079019546509,300
75,8000,2,9.07370138168335,1.238051176071167,35.67966985702515,5.392306804656982,300
76,8000,2,9.548053979873657,1.2426819801330566,35.56825137138367,4.990955114364624,300
77,8000,2,9.776671409606934,1.3262875080108643,35.60820269584656,5.021060943603516,300
78,8000,2,9.373127937316895,1.2498204708099365,36.62519979476929,5.195815086364746,300
79,8000,2,9.353147745132446,1.2300958633422852,35.65290832519531,4.991078853607178,300
80,9000,2,11.284989595413208,1.479020595550537,39.45885133743286,5.4374542236328125,300
81,9000,2,10.890971183776855,1.3743669986724854,39.63803243637085,5.9003071784973145,300
82,9000,2,10.221712112426758,1.416229486465454,36.7761116027832,5.173245191574097,300
83,9000,2,9.858015298843384,1.5077674388885498,37.31647062301636,5.216721296310425,300
84,9000,2,9.72493028640747,1.3460667133331299,36.88102746009827,5.427292108535767,300
85,9000,2,9.364678382873535,1.4071588516235352,36.80564880371094,5.093472242355347,300
86,9000,2,10.12471342086792,1.4042713642120361,36.676995038986206,5.137817859649658,300
87,9000,2,9.800400495529175,1.3576948642730713,36.9904408454895,5.078991889953613,300
88,9000,2,9.788480281829834,1.412571668624878,37.17898464202881,5.041757822036743,300
89,9000,2,9.436463832855225,1.4288806915283203,36.68250012397766,5.583797454833984,300
