,N,iter_lev,Voronoi,Distances,Drawing,Saving figure,dpi,Total time
145,15000,2,2.613354444503784,0.2693626880645752,14.049617767333984,4.327324390411377,300,18.932334899902344
146,15000,2,4.482689142227173,0.3459880352020264,14.713792085647585,4.342061758041382,300,21.542469263076782
147,15000,2,4.797026872634888,0.3680305480957031,14.6857430934906,3.980922937393189,300,21.85080051422119
148,15000,2,4.647688150405884,0.337275505065918,14.686946153640747,4.0449609756469735,300,21.67190980911255
149,15000,2,4.68450665473938,0.3487658500671387,14.815237522125244,4.149383544921875,300,21.848510026931763
150,16000,2,5.315500020980835,0.3737959861755371,16.164334774017338,4.1185455322265625,300,23.85363078117371
151,16000,2,4.831554651260376,0.3591568470001221,15.702802419662476,4.573446035385132,300,22.893513917922974
152,16000,2,4.965635538101196,0.3523683547973633,15.756496667861938,4.98067045211792,300,23.074500560760498
153,16000,2,5.397565841674805,0.35265374183654785,15.791423082351685,4.274696111679076,300,23.541642665863037
154,16000,2,4.792654991149902,0.35413765907287603,16.094540119171146,4.291140556335448,300,23.241332769393924
155,16000,2,4.900426149368286,0.3880453109741211,16.181811332702633,4.263866424560547,300,23.47028279304504
156,16000,2,4.898151159286499,0.35512495040893555,15.824944734573364,4.563851356506348,300,23.0782208442688
157,16000,2,4.943448066711426,0.37301063537597656,15.645814895629885,4.452161073684692,300,22.962273597717285
158,16000,2,5.010010719299316,0.3511850833892822,15.834237813949585,4.183693885803224,300,23.195433616638184
159,16000,2,4.892861366271973,0.35982608795166016,16.209368228912357,4.568409204483032,300,23.46205568313599
160,17000,2,5.388793706893921,0.4387705326080322,16.404181480407715,4.584836721420288,300,24.231745719909668
161,17000,2,5.161066055297852,0.3669331073760986,16.754924058914185,4.320997476577759,300,24.282923221588135
162,17000,2,5.201202869415283,0.3989832401275635,16.604800939559937,4.583397626876831,300,24.204987049102783
163,17000,2,5.002209186553955,0.3845880031585693,16.82284927368164,4.5451719760894775,300,24.209646463394165
164,17000,2,4.923798322677612,0.3498985767364502,16.553864240646362,4.376551389694214,300,23.827561140060425
165,17000,2,4.877668857574463,0.3752422332763672,16.706923246383667,4.538651943206787,300,23.959834337234497
166,17000,2,5.009819269180298,0.36003565788269043,16.670896768569946,4.449368000030519,300,24.040751695632935
167,17000,2,5.060836315155028,0.4621074199676514,16.424946546554565,4.470337390899658,300,23.947890281677246
168,17000,2,5.081413745880127,0.39404773712158203,16.684622526168823,4.661459684371948,300,24.160084009170532
169,17000,2,5.0720951557159415,0.40089774131774897,16.552676916122437,4.427827596664429,300,24.025669813156128
170,18000,2,5.454446077346802,0.4001941680908203,17.444643497467037,4.478795051574707,300,25.29928374290466
171,18000,2,5.25973391532898,0.4061746597290039,17.30880379676819,4.472590208053589,300,24.974712371826172
172,18000,2,5.35285234451294,0.4153463840484619,17.344598770141598,4.562026739120483,300,25.112797498703
173,18000,2,5.369024753570557,0.4109439849853516,18.785930395126343,4.507569074630737,300,26.56589913368225
174,18000,2,5.103139638900757,0.4501595497131348,17.315767765045162,4.3970324993133545,300,24.869066953659054
175,18000,2,5.105047464370728,0.3912723064422608,17.212899923324585,4.743681192398071,300,24.709219694137573
176,18000,2,5.362712383270264,0.4010293483734131,17.46642756462097,4.518661022186278,300,25.23016929626465
177,18000,2,5.218241930007935,0.3923592567443848,16.817545652389526,3.2923378944396973,300,24.428146839141846
178,18000,2,3.039085865020752,0.23184919357299805,8.961437940597532,2.421252489089966,300,14.232372999191282
179,18000,2,3.0079026222229004,0.23177528381347656,9.124242782592773,2.554805278778076,300,14.36392068862915
180,19000,2,3.1081175804138184,0.25394535064697266,9.56320786476135,2.4585649967193604,300,14.925270795822142
181,19000,2,3.1069886684417725,0.2629823684692383,9.423665046691896,2.4432260990142822,300,14.793636083602907
182,19000,2,3.09200406074524,0.2630412578582764,9.324858665466307,2.543633222579956,300,14.679903984069824
183,19000,2,3.1858735084533687,0.23830294609069824,9.393831491470335,2.5060858726501465,300,14.818007946014403
184,19000,2,3.207453727722168,0.24737977981567386,9.340529441833496,2.4673852920532227,300,14.795362949371338
185,19000,2,3.092435836791992,0.2383394241333008,9.440845489501953,2.489742517471313,300,14.771620750427246
186,19000,2,3.1607778072357178,0.2473733425140381,9.458523988723757,2.4994101524353027,300,14.866675138473513
187,19000,2,3.1922240257263184,0.2695748805999756,9.22492814064026,2.6594762802124023,300,14.686727046966555
188,19000,2,2.9924161434173584,0.2629613876342773,9.262508153915403,2.473906993865967,300,14.51788568496704
189,19000,2,3.2231900691986084,0.2694854736328125,9.286863803863524,2.4591522216796875,300,14.779539346694945
